# color images
# file: 'rgbd_dataset_freiburg3_long_office_household.bag'
# timestamp filename
1341847980.722988 rgb/1341847980.722988.png
1341847980.754743 rgb/1341847980.754743.png
1341847980.786856 rgb/1341847980.786856.png
1341847980.822978 rgb/1341847980.822978.png
1341847980.854676 rgb/1341847980.854676.png
1341847980.890728 rgb/1341847980.890728.png
1341847980.922978 rgb/1341847980.922978.png
1341847980.954645 rgb/1341847980.954645.png
1341847980.990699 rgb/1341847980.990699.png
1341847981.022715 rgb/1341847981.022715.png
1341847981.054711 rgb/1341847981.054711.png
1341847981.090715 rgb/1341847981.090715.png
1341847981.122985 rgb/1341847981.122985.png
1341847981.158632 rgb/1341847981.158632.png
1341847981.190636 rgb/1341847981.190636.png
1341847981.222978 rgb/1341847981.222978.png
1341847981.258722 rgb/1341847981.258722.png
1341847981.290787 rgb/1341847981.290787.png
1341847981.322892 rgb/1341847981.322892.png
1341847981.358690 rgb/1341847981.358690.png
1341847981.390810 rgb/1341847981.390810.png
1341847981.426707 rgb/1341847981.426707.png
1341847981.458797 rgb/1341847981.458797.png
1341847981.490701 rgb/1341847981.490701.png
1341847981.527039 rgb/1341847981.527039.png
1341847981.558722 rgb/1341847981.558722.png
1341847981.594855 rgb/1341847981.594855.png
1341847981.626675 rgb/1341847981.626675.png
1341847981.658738 rgb/1341847981.658738.png
1341847981.694720 rgb/1341847981.694720.png
1341847981.726650 rgb/1341847981.726650.png
1341847981.758846 rgb/1341847981.758846.png
1341847981.794659 rgb/1341847981.794659.png
1341847981.826678 rgb/1341847981.826678.png
1341847981.862719 rgb/1341847981.862719.png
1341847981.894631 rgb/1341847981.894631.png
1341847981.926602 rgb/1341847981.926602.png
1341847981.962757 rgb/1341847981.962757.png
1341847981.994808 rgb/1341847981.994808.png
1341847982.027112 rgb/1341847982.027112.png
1341847982.062739 rgb/1341847982.062739.png
1341847982.094786 rgb/1341847982.094786.png
1341847982.130710 rgb/1341847982.130710.png
1341847982.162730 rgb/1341847982.162730.png
1341847982.194674 rgb/1341847982.194674.png
1341847982.230594 rgb/1341847982.230594.png
1341847982.262666 rgb/1341847982.262666.png
1341847982.294994 rgb/1341847982.294994.png
